Customer Type,Class,Gender,Age,Type of Travel,Flight Distance,Checkin service,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,Eco,Female,52,Business travel,160,2,50,44,satisfied
Loyal Customer,Business,Female,36,Business travel,2863,3,0,0,satisfied
disloyal Customer,Eco,Male,20,Business travel,192,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,44,Business travel,3377,3,0,6,satisfied
Loyal Customer,Eco,Female,49,Business travel,1182,4,0,20,satisfied
Loyal Customer,Eco,Male,16,Business travel,311,1,0,0,satisfied
Loyal Customer,Business,Female,77,Business travel,3987,4,0,0,satisfied
Loyal Customer,Business,Female,43,Business travel,2556,5,77,65,satisfied
Loyal Customer,Eco,Male,47,Business travel,556,3,1,0,satisfied
Loyal Customer,Business,Female,46,Business travel,1744,5,28,14,satisfied
Loyal Customer,Eco,Female,47,Business travel,1235,1,29,19,satisfied
Loyal Customer,Business,Female,33,Business travel,325,3,18,7,neutral or dissatisfied
Loyal Customer,Business,Female,46,Business travel,1009,5,0,0,satisfied
Loyal Customer,Business,Female,60,Business travel,451,3,117,113,satisfied
Loyal Customer,Business,Female,52,Business travel,925,3,10,0,satisfied
Loyal Customer,Eco,Male,50,Personal Travel,83,4,5,2,neutral or dissatisfied
Loyal Customer,Eco,Female,31,Business travel,728,4,2,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,52,Personal Travel,1075,4,0,0,satisfied
Loyal Customer,Eco,Female,43,Personal Travel,1927,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,50,Business travel,3799,5,8,0,satisfied
Loyal Customer,Business,Male,60,Business travel,612,5,21,49,satisfied
Loyal Customer,Eco,Male,43,Personal Travel,1437,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,55,Personal Travel,302,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,25,Business travel,1428,1,0,0,satisfied
disloyal Customer,Eco,Female,30,Business travel,528,4,0,0,neutral or dissatisfied
